CM_py,CM_Star_py,CSe
58.21520238,8.082289896,3.734521665
58.13230508,7.661716185,3.836591668
40.88839119,7.255008839,3.39274741
56.1031097,8.09823612,2.777362795
82.71579003,8.505586325,4.297079328
56.65501375,7.711013796,3.75
117.6877573,9.055735825,4.651084443
56.07400825,7.609691748,3.947702779
118.2291831,9.10881276,4.440223929
78.00448813,8.1638615,4.243300369
120.9946074,8.728904761,4.250571945
57.66939958,7.606378487,3.616348566
38.3861046,6.998880767,3.188721876
68.69665892,7.956941739,4.152391278
106.318373,8.796325889,4.16229491
107.6694244,8.852258771,4.664497779
77.80464325,8.276275865,4.368522528
117.6877573,9.055735825,4.651084443
49.37963601,7.353082128,3.773557262
25.40149357,6.623792183,2.807354922
107.020552,8.955056975,4.51755943
78.39176614,8.301073642,3.653756708
114.936843,8.752962617,4.265319531
189.4620603,9.649349677,4.10346519
64.90861743,8.132689708,3.947702779
124.8520689,8.985287526,4.4548224
119.8432704,9.038743001,4.573557262
253.166661,10.1589773,5.519454883
56.33015206,7.567474663,4.037401198
64.73377112,8.101723188,3.794653474
78.11755776,8.128719687,3.914866304
39.08736197,7.003615572,3.418295834
73.07026298,8.366211556,4.221928095
